"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1443","202012071000","4.6","1","0"
"TT_TU_MN009","1443","202012071100","5.7","1","0"
"TT_TU_MN009","1443","202012071200","6","1","0"
"TT_TU_MN009","1443","202012071300","6.4","1","0"
"TT_TU_MN009","1443","202012071400","5.7","1","0"
"TT_TU_MN009","1443","202012071500","5.6","1","0"
"TT_TU_MN009","1443","202012071600","5.2","1","0"
"TT_TU_MN009","1443","202012071700","4.3","1","0"
"TT_TU_MN009","1443","202012071800","4.5","1","0"
"TT_TU_MN009","1443","202012071900","3.7","1","0"
"TT_TU_MN009","1443","202012072000","1.2","1","0"
"TT_TU_MN009","1443","202012072100","-0.1","1","0"
"TT_TU_MN009","1443","202012072200","0.1","1","0"
"TT_TU_MN009","1443","202012072300","-0.1","1","0"
"TT_TU_MN009","1443","202012080000","0.8","1","0"
"TT_TU_MN009","1443","202012080100","1.1","1","0"
"TT_TU_MN009","1443","202012080200","0.8","1","0"
"TT_TU_MN009","1443","202012080300","0.8","1","0"
"TT_TU_MN009","1443","202012080400","1.2","1","0"
"TT_TU_MN009","1443","202012080500","0.3","1","0"
"TT_TU_MN009","1443","202012080600","-0.1","1","0"
"TT_TU_MN009","1443","202012080700","-0.5","1","0"
"TT_TU_MN009","1443","202012080800","-0.5","1","0"
"TT_TU_MN009","1443","202012080900","0.6","1","0"
"TT_TU_MN009","1443","202012081000","2.1","1","0"
"TT_TU_MN009","1443","202012081100","1","1","0"
"TT_TU_MN009","1443","202012081200","1.3","1","0"
"TT_TU_MN009","1443","202012081300","1","1","0"
"TT_TU_MN009","1443","202012081400","1.1","1","0"
"TT_TU_MN009","1443","202012081500","1.2","1","0"
"TT_TU_MN009","1443","202012081600","1.1","1","0"
"TT_TU_MN009","1443","202012081700","0.9","1","0"
"TT_TU_MN009","1443","202012081800","1.3","1","0"
"TT_TU_MN009","1443","202012081900","1.8","1","0"
"TT_TU_MN009","1443","202012082000","2","1","0"
"TT_TU_MN009","1443","202012082100","1.5","1","0"
"TT_TU_MN009","1443","202012082200","1.4","1","0"
"TT_TU_MN009","1443","202012082300","1.6","1","0"
"TT_TU_MN009","1443","202012090000","1.5","1","0"
"TT_TU_MN009","1443","202012090100","1.7","1","0"
"TT_TU_MN009","1443","202012090200","1.8","1","0"
"TT_TU_MN009","1443","202012090300","1.8","1","0"
"TT_TU_MN009","1443","202012090400","1.8","1","0"
"TT_TU_MN009","1443","202012090500","2","1","0"
"TT_TU_MN009","1443","202012090600","2","1","0"
